,BuildingType,Neighborhood,YearBuilt,NumberofBuildings,NumberofFloors,PropertyGFATotal,LargestPropertyUseType,LargestPropertyUseTypeGFA,GFABuildingRate,GFAParkingRate,Distance_from_SeattleKM,Log_SiteEnergyUse,GFAPerBuilding,GFAPerFloor
0,NonResidential,Downtown,1927.0,1.0,12.0,88434,Hotel,88434.0,1.0,0.0,0.8000502801285437,15.811795465396354,88434.0,7369.5
1,NonResidential,Downtown,1996.0,1.0,11.0,103566,Hotel,83880.0,0.8545468590077825,0.1454531409922175,0.7870765132003549,15.870255316732543,103566.0,9415.091
2,Campus,Downtown,1969.0,1.0,41.0,956110,Hotel,756493.0,0.7942517074395206,0.20574829256047944,0.9701094014984468,18.125911335563465,956110.0,23319.756
3,NonResidential,Downtown,1926.0,1.0,10.0,61320,Hotel,61320.0,1.0,0.0,0.9441393453430015,15.813229779085246,61320.0,6132.0
4,NonResidential,Downtown,1980.0,1.0,18.0,175580,Hotel,123445.0,0.6468846110035311,0.3531153889964688,1.0480915783672327,16.478268998341417,175580.0,9754.444
5,Nonresidential COS,Downtown,1999.0,1.0,2.0,97288,Police Stat,50755.0,0.6176506866211661,0.382349313378834,1.1645352602477645,16.39954833600254,97288.0,48644.0
6,NonResidential,Downtown,1926.0,1.0,11.0,83008,Hotel,81352.0,1.0,0.0,0.8579480024177811,15.590646790273812,83008.0,7546.182
7,NonResidential,Downtown,1926.0,1.0,8.0,102761,Other - Ent,102761.0,1.0,0.0,0.7881029529701925,15.811053033477592,102761.0,12845.125
8,NonResidential,Downtown,1904.0,1.0,15.0,163984,Hotel,163984.0,1.0,0.0,0.3646667811061394,16.513347446970112,163984.0,10932.267
9,Multifamily MR (5-9),Downtown,1910.0,1.0,6.0,63712,Multifamily,56132.0,0.9765193370165746,0.023480662983425413,0.37412311471972715,15.433322410886031,63712.0,10618.667
